vehicle_id,model_name,drivetrain_type,chart_type,cost_component,value
DSL004,Volvo FE,Diesel,diesel,Fuel (NPV),185855.17209229767
DSL004,Volvo FE,Diesel,diesel,Maintenance (NPV),46212.690960146414
DSL004,Volvo FE,Diesel,diesel,Insurance (PV),92690.34628095276
DSL004,Volvo FE,Diesel,diesel,Taxes & Fees (PV),13377.916698931931
DSL004,Volvo FE,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL004,Volvo FE,Diesel,diesel,Final TCO (NPV),543790.4280223089
DSL005,MB Actros,Diesel,diesel,Asset Cost,278100.0
DSL005,MB Actros,Diesel,diesel,Residual Value (PV),-25706.083921388054
DSL005,MB Actros,Diesel,diesel,Fuel (NPV),185855.17209229767
DSL005,MB Actros,Diesel,diesel,Maintenance (NPV),46212.690960146414
DSL005,MB Actros,Diesel,diesel,Insurance (PV),109038.30769108719
DSL005,MB Actros,Diesel,diesel,Taxes & Fees (PV),14877.916698931931
DSL005,MB Actros,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL005,MB Actros,Diesel,diesel,Final TCO (NPV),608378.0035210752
DSL006,MB Actros,Diesel,diesel,Asset Cost,278100.0
DSL006,MB Actros,Diesel,diesel,Residual Value (PV),-25706.083921388054
DSL006,MB Actros,Diesel,diesel,Fuel (NPV),742410.6059121671
DSL006,MB Actros,Diesel,diesel,Maintenance (NPV),262541.6645851796
DSL006,MB Actros,Diesel,diesel,Insurance (PV),109038.30769108719
DSL006,MB Actros,Diesel,diesel,Taxes & Fees (PV),79429.01003837708
DSL006,MB Actros,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL006,MB Actros,Diesel,diesel,Final TCO (NPV),1445813.504305423
DSL007,Volvo FH,Diesel,diesel,Asset Cost,288400.0
DSL007,Volvo FH,Diesel,diesel,Residual Value (PV),-26658.161103661685
DSL007,Volvo FH,Diesel,diesel,Fuel (NPV),742410.6059121671
